"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","name_localizedValue0","usertype","birth year","gender"
386,"2018-02-01 00:30:21","2018-02-01 00:36:47",3205,"JC Medical Center",40.71653978099194,-74.0496379137039,3214,"Essex Light Rail",40.7127742,-74.0364857,29617,"Annual Membership","Subscriber",1984,1
724,"2018-02-01 00:59:14","2018-02-01 01:11:19",3225,"Baldwin at Montgomery",40.7236589,-74.0641943,3189,"West Side Light Rail",40.714402,-74.0887723,29635,"Join Citi Bike for $14.95/month","Subscriber",1962,1
452,"2018-02-01 03:50:25","2018-02-01 03:57:57",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29613,"Annual Membership","Subscriber",1960,1
358,"2018-02-01 05:06:52","2018-02-01 05:12:51",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3638,"Washington St",40.7242941,-74.0354826,31779,"Join Citi Bike for $14.95/month","Subscriber",1964,1
218,"2018-02-01 05:14:48","2018-02-01 05:18:26",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29579,"Annual Membership","Subscriber",1994,1
191,"2018-02-01 05:15:22","2018-02-01 05:18:34",3481,"York St",40.71649,-74.04105,3183,"Exchange Place",40.7162469,-74.0334588,31865,"Annual Membership","Subscriber",1982,1
203,"2018-02-01 05:22:53","2018-02-01 05:26:17",3481,"York St",40.71649,-74.04105,3187,"Warren St",40.7211236,-74.03805095,31708,"Annual Membership","Subscriber",1988,1
165,"2018-02-01 05:32:22","2018-02-01 05:35:08",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,31912,"Annual Membership","Subscriber",1980,1
270,"2018-02-01 05:47:39","2018-02-01 05:52:10",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31766,"Annual Membership","Subscriber",1987,1
234,"2018-02-01 05:51:29","2018-02-01 05:55:23",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26197,"Annual Membership","Subscriber",1960,1
168,"2018-02-01 05:52:56","2018-02-01 05:55:45",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3184,"Paulus Hook",40.7141454,-74.0335519,26247,"Join Citi Bike for $14.95/month","Subscriber",1961,1
396,"2018-02-01 06:05:27","2018-02-01 06:12:03",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31926,"Annual Membership","Subscriber",1956,1
301,"2018-02-01 06:06:59","2018-02-01 06:12:00",3207,"Oakland Ave",40.7376037,-74.0524783,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29607,"Annual Membership","Subscriber",1958,1
398,"2018-02-01 06:10:32","2018-02-01 06:17:10",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3639,"Harborside",40.7192517,-74.034234,31760,"Annual Membership","Subscriber",1957,1
571,"2018-02-01 06:17:26","2018-02-01 06:26:57",3192,"Liberty Light Rail",40.7112423,-74.0557013,3184,"Paulus Hook",40.7141454,-74.0335519,31738,"Annual Membership","Subscriber",1960,1
463,"2018-02-01 06:17:30","2018-02-01 06:25:13",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29673,"Annual Membership","Subscriber",1976,1
292,"2018-02-01 06:20:59","2018-02-01 06:25:52",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31946,"Annual Membership","Subscriber",1989,2
97,"2018-02-01 06:21:30","2018-02-01 06:23:07",3200,"MLK Light Rail",40.7111305,-74.0788855,3200,"MLK Light Rail",40.7111305,-74.0788855,31802,"Annual Membership","Subscriber",1977,1
166,"2018-02-01 06:24:26","2018-02-01 06:27:12",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,29621,"Join Citi Bike for $14.95/month","Subscriber",1983,1
469,"2018-02-01 06:29:22","2018-02-01 06:37:11",3280,"Astor Place",40.71928220070702,-74.07126188278198,3195,"Sip Ave",40.73074262530658,-74.06378388404846,29654,"Annual Membership","Subscriber",1971,1
191,"2018-02-01 06:30:33","2018-02-01 06:33:44",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31860,"Annual Membership","Subscriber",1975,1
182,"2018-02-01 06:31:06","2018-02-01 06:34:08",3209,"Brunswick St",40.7241765,-74.0506564,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31763,"Annual Membership","Subscriber",1980,1
217,"2018-02-01 06:32:01","2018-02-01 06:35:39",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,26201,"Annual Membership","Subscriber",1956,1
382,"2018-02-01 06:32:37","2018-02-01 06:39:00",3184,"Paulus Hook",40.7141454,-74.0335519,3202,"Newport PATH",40.7272235,-74.0337589,31738,"Annual Membership","Subscriber",1981,1
482,"2018-02-01 06:33:04","2018-02-01 06:41:06",3184,"Paulus Hook",40.7141454,-74.0335519,3202,"Newport PATH",40.7272235,-74.0337589,26247,"Annual Membership","Subscriber",1970,1
371,"2018-02-01 06:37:12","2018-02-01 06:43:23",3187,"Warren St",40.7211236,-74.03805095,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31708,"Annual Membership","Subscriber",1988,1
330,"2018-02-01 06:40:16","2018-02-01 06:45:46",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,31759,"Annual Membership","Subscriber",1982,1
236,"2018-02-01 06:40:26","2018-02-01 06:44:22",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,31688,"Annual Membership","Subscriber",1959,2
154,"2018-02-01 06:42:47","2018-02-01 06:45:21",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31873,"Annual Membership","Subscriber",1982,1
238,"2018-02-01 06:44:05","2018-02-01 06:48:04",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3639,"Harborside",40.7192517,-74.034234,26197,"Annual Membership","Subscriber",1989,1
208,"2018-02-01 06:51:02","2018-02-01 06:54:30",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31727,"Annual Membership","Subscriber",1975,1
96,"2018-02-01 06:51:49","2018-02-01 06:53:25",3199,"Newport Pkwy",40.7287448,-74.0321082,3202,"Newport PATH",40.7272235,-74.0337589,26174,"Annual Membership","Subscriber",1979,1
177,"2018-02-01 06:52:28","2018-02-01 06:55:25",3187,"Warren St",40.7211236,-74.03805095,3638,"Washington St",40.7242941,-74.0354826,29584,"Annual Membership","Subscriber",1988,1
140,"2018-02-01 06:53:51","2018-02-01 06:56:11",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29623,"Annual Membership","Subscriber",1963,1
126,"2018-02-01 06:56:06","2018-02-01 06:58:13",3270,"Jersey & 6th St",40.72528910781132,-74.04557168483734,3211,"Newark Ave",40.72152515,-74.046304543,31713,"Annual Membership","Subscriber",1971,1
140,"2018-02-01 06:56:24","2018-02-01 06:58:44",3481,"York St",40.71649,-74.04105,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31684,"Annual Membership","Subscriber",1978,1
322,"2018-02-01 06:56:26","2018-02-01 07:01:49",3275,"Columbus Drive",40.71835519823214,-74.03891444206238,3203,"Hamilton Park",40.727595966,-74.044247311,29595,"Annual Membership","Subscriber",1987,1
261,"2018-02-01 07:00:24","2018-02-01 07:04:46",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31799,"Annual Membership","Subscriber",1969,1
330,"2018-02-01 07:02:03","2018-02-01 07:07:34",3639,"Harborside",40.7192517,-74.034234,3202,"Newport PATH",40.7272235,-74.0337589,31151,"Annual Membership","Subscriber",1979,1
262,"2018-02-01 07:04:11","2018-02-01 07:08:33",3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,3184,"Paulus Hook",40.7141454,-74.0335519,31762,"Annual Membership","Subscriber",1984,1
482,"2018-02-01 07:04:15","2018-02-01 07:12:17",3192,"Liberty Light Rail",40.7112423,-74.0557013,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31739,"FREE Bonus Month with Annual Membership","Subscriber",1985,1
212,"2018-02-01 07:05:10","2018-02-01 07:08:42",3279,"Dixon Mills",40.721630142638354,-74.04996782541275,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31721,"$25 Off Annual Membership","Subscriber",1977,2
144,"2018-02-01 07:06:03","2018-02-01 07:08:28",3214,"Essex Light Rail",40.7127742,-74.0364857,3183,"Exchange Place",40.7162469,-74.0334588,26193,"Annual Membership","Subscriber",1984,1
300,"2018-02-01 07:07:18","2018-02-01 07:12:18",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3205,"JC Medical Center",40.71653978099194,-74.0496379137039,31766,"Annual Membership","Subscriber",1956,1
357,"2018-02-01 07:08:49","2018-02-01 07:14:47",3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,31688,"Annual Membership from Citi Bike App","Subscriber",1980,1
397,"2018-02-01 07:10:05","2018-02-01 07:16:42",3281,"Leonard Gordon Park",40.74590996631558,-74.0572714805603,3195,"Sip Ave",40.73074262530658,-74.06378388404846,26289,"Annual Membership","Subscriber",1980,1
658,"2018-02-01 07:11:41","2018-02-01 07:22:39",3198,"Heights Elevator",40.748715945380226,-74.04044330120087,3202,"Newport PATH",40.7272235,-74.0337589,31776,"Annual Membership","Subscriber",1981,1
221,"2018-02-01 07:12:57","2018-02-01 07:16:39",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,29591,"Annual Membership","Subscriber",1987,2
407,"2018-02-01 07:14:25","2018-02-01 07:21:12",3186,"Grove St PATH",40.71958611647166,-74.04311746358871,3202,"Newport PATH",40.7272235,-74.0337589,31739,"Annual Membership","Subscriber",1969,1
206,"2018-02-01 07:15:15","2018-02-01 07:18:41",3267,"Morris Canal",40.7124188237569,-74.03852552175522,3183,"Exchange Place",40.7162469,-74.0334588,31890,"FREE Bonus Month with Annual Membership","Subscriber",1991,1
605,"2018-02-01 07:16:42","2018-02-01 07:26:48",3203,"Hamilton Park",40.727595966,-74.044247311,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29595,"Annual Membership","Subscriber",1988,1
247,"2018-02-01 07:23:02","2018-02-01 07:27:10",3278,"Monmouth and 6th",40.72568548362901,-74.04879033565521,3186,"Grove St PATH",40.71958611647166,-74.04311746358871,29672,"Annual Membership","Subscriber",1978,1
